TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
Municipio de Chiclana de la Frontera;6.-TRÁFICO DE DROGAS (EU);16;13;-18,8
Municipio de Chiclana de la Frontera;7.-DAÑOS;281;330;17,4
Municipio de Chiclana de la Frontera;8.-HURTOS;603;682;13,1
Municipio de Jerez de la Frontera;1.-DELITOS Y FALTAS (EU);8306;7453;-10,3
Municipio de Jerez de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Jerez de la Frontera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);191;196;2,6
Municipio de Jerez de la Frontera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);202;169;-16,3
Municipio de Jerez de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);263;191;-27,4
Municipio de Jerez de la Frontera;6.-TRÁFICO DE DROGAS (EU);27;33;22,2
Municipio de Jerez de la Frontera;7.-DAÑOS;861;789;-8,4
Municipio de Jerez de la Frontera;8.-HURTOS;3069;2850;-7,1
Municipio de Línea de la Concepción (La);1.-DELITOS Y FALTAS (EU);2456;1953;-20,5
Municipio de Línea de la Concepción (La);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Línea de la Concepción (La);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);63;48;-23,8
Municipio de Línea de la Concepción (La);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);85;47;-44,7
Municipio de Línea de la Concepción (La);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);90;83;-7,8
Municipio de Línea de la Concepción (La);6.-TRÁFICO DE DROGAS (EU);49;51;4,1
Municipio de Línea de la Concepción (La);7.-DAÑOS;274;225;-17,9
Municipio de Línea de la Concepción (La);8.-HURTOS;559;448;-19,9
Municipio de Puerto de Santa María (El);1.-DELITOS Y FALTAS (EU);3278;3040;-7,3
Municipio de Puerto de Santa María (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Puerto de Santa María (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);58;48;-17,2
Municipio de Puerto de Santa María (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);94;55;-41,5
Municipio de Puerto de Santa María (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);89;78;-12,4
Municipio de Puerto de Santa María (El);6.-TRÁFICO DE DROGAS (EU);36;25;-30,6
Municipio de Puerto de Santa María (El);7.-DAÑOS;470;435;-7,4
Municipio de Puerto de Santa María (El);8.-HURTOS;1222;1085;-11,2
Municipio de San Fernando;1.-DELITOS Y FALTAS (EU);2579;2599;0,8
Municipio de San Fernando;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de San Fernando;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);29;29;0,0
Municipio de San Fernando;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);54;66;22,2
Municipio de San Fernando;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);114;130;14,0
Municipio de San Fernando;6.-TRÁFICO DE DROGAS (EU);19;13;-31,6
Municipio de San Fernando;7.-DAÑOS;302;286;-5,3
Municipio de San Fernando;8.-HURTOS;939;968;3,1
Municipio de Sanlúcar de Barrameda;1.-DELITOS Y FALTAS (EU);1935;1960;1,3
Municipio de Sanlúcar de Barrameda;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Sanlúcar de Barrameda;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);57;52;-8,8
Municipio de Sanlúcar de Barrameda;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);87;97;11,5
Municipio de Sanlúcar de Barrameda;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);97;96;-1,0
Municipio de Sanlúcar de Barrameda;6.-TRÁFICO DE DROGAS (EU);5;12;140,0
Municipio de Sanlúcar de Barrameda;7.-DAÑOS;236;280;18,6
Municipio de Sanlúcar de Barrameda;8.-HURTOS;721;723;0,3
Provincia de Córdoba;1.-DELITOS Y FALTAS (EU);19586;18218;-7,0
Provincia de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100,0
Provincia de Córdoba;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);382;392;2,6
Provincia de Córdoba;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);875;904;3,3
Provincia de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);290;323;11,4
Provincia de Córdoba;6.-TRÁFICO DE DROGAS (EU);94;140;48,9
Provincia de Córdoba;7.-DAÑOS;1980;1849;-6,6
Provincia de Córdoba;8.-HURTOS;6162;5897;-4,3
Municipio de Córdoba;1.-DELITOS Y FALTAS (EU);11640;10637;-8,6
Municipio de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Córdoba;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);299;307;2,7
Municipio de Córdoba;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);344;326;-5,2
Municipio de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);185;200;8,1
Municipio de Córdoba;6.-TRÁFICO DE DROGAS (EU);47;86;83,0
Municipio de Córdoba;7.-DAÑOS;1143;1089;-4,7
Municipio de Córdoba;8.-HURTOS;4083;4087;0,1
Provincia de Granada;1.-DELITOS Y FALTAS (EU);24497;24279;-0,9
Provincia de Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;4;-20,0
Provincia de Granada;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);542;527;-2,8
Provincia de Granada;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1473;1684;14,3
Provincia de Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);625;652;4,3
Provincia de Granada;6.-TRÁFICO DE DROGAS (EU);379;395;4,2
Provincia de Granada;7.-DAÑOS;2623;2604;-0,7
Provincia de Granada;8.-HURTOS;7669;7718;0,6
Municipio de Granada;1.-DELITOS Y FALTAS (EU);9268;9486;2,4
Municipio de Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Granada;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);295;308;4,4
