TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
Municipio de Utrera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);23;15;-34,8
Municipio de Utrera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);121;52;-57,0
Municipio de Utrera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);47;40;-14,9
Municipio de Utrera;6.-TRÁFICO DE DROGAS (EU);7;11;57,1
Municipio de Utrera;7.-DAÑOS;202;169;-16,3
Municipio de Utrera;8.-HURTOS;591;429;-27,4
ARAGÓN;1.-DELITOS Y FALTAS (EU);28441;28206;-0,8
ARAGÓN;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;8;14,3
ARAGÓN;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);543;691;27,3
ARAGÓN;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1299;1372;5,6
ARAGÓN;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);263;256;-2,7
ARAGÓN;6.-TRÁFICO DE DROGAS (EU);215;179;-16,7
ARAGÓN;7.-DAÑOS;3983;3861;-3,1
ARAGÓN;8.-HURTOS;8938;8720;-2,4
Provincia de Huesca;1.-DELITOS Y FALTAS (EU);3873;3805;-1,8
Provincia de Huesca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Provincia de Huesca;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);23;42;82,6
Provincia de Huesca;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);169;153;-9,5
Provincia de Huesca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);35;31;-11,4
Provincia de Huesca;6.-TRÁFICO DE DROGAS (EU);33;34;3,0
Provincia de Huesca;7.-DAÑOS;530;573;8,1
Provincia de Huesca;8.-HURTOS;1088;974;-10,5
Municipio de Huesca;1.-DELITOS Y FALTAS (EU);852;857;0,6
Municipio de Huesca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Huesca;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);4;9;125,0
Municipio de Huesca;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);24;20;-16,7
Municipio de Huesca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);5;5;0,0
Municipio de Huesca;6.-TRÁFICO DE DROGAS (EU);6;8;33,3
Municipio de Huesca;7.-DAÑOS;116;115;-0,9
Municipio de Huesca;8.-HURTOS;274;281;2,6
Provincia de Teruel;1.-DELITOS Y FALTAS (EU);1965;1887;-4,0
Provincia de Teruel;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100,0
Provincia de Teruel;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);20;16;-20,0
Provincia de Teruel;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);127;111;-12,6
Provincia de Teruel;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);15;14;-6,7
Provincia de Teruel;6.-TRÁFICO DE DROGAS (EU);16;14;-12,5
Provincia de Teruel;7.-DAÑOS;339;288;-15,0
Provincia de Teruel;8.-HURTOS;418;437;4,5
Municipio de Teruel;1.-DELITOS Y FALTAS (EU);492;465;-5,5
Municipio de Teruel;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Teruel;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);7;8;14,3
Municipio de Teruel;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);15;19;26,7
Municipio de Teruel;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);6;3;-50,0
Municipio de Teruel;6.-TRÁFICO DE DROGAS (EU);10;4;-60,0
Municipio de Teruel;7.-DAÑOS;74;63;-14,9
Municipio de Teruel;8.-HURTOS;147;154;4,8
Provincia de Zaragoza;1.-DELITOS Y FALTAS (EU);22603;22514;-0,4
Provincia de Zaragoza;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;8;100,0
Provincia de Zaragoza;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);500;633;26,6
Provincia de Zaragoza;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1003;1108;10,5
Provincia de Zaragoza;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);213;211;-0,9
Provincia de Zaragoza;6.-TRÁFICO DE DROGAS (EU);166;131;-21,1
Provincia de Zaragoza;7.-DAÑOS;3114;3000;-3,7
Provincia de Zaragoza;8.-HURTOS;7432;7309;-1,7
Municipio de Zaragoza;1.-DELITOS Y FALTAS (EU);16368;16320;-0,3
Municipio de Zaragoza;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;6;100,0
Municipio de Zaragoza;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);451;576;27,7
Municipio de Zaragoza;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);504;592;17,5
Municipio de Zaragoza;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);120;137;14,2
Municipio de Zaragoza;6.-TRÁFICO DE DROGAS (EU);122;93;-23,8
Municipio de Zaragoza;7.-DAÑOS;2173;2098;-3,5
Municipio de Zaragoza;8.-HURTOS;6019;6109;1,5
ASTURIAS (PRINCIPADO DE);1.-DELITOS Y FALTAS (EU);20194;19711;-2,4
ASTURIAS (PRINCIPADO DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;4;33,3
ASTURIAS (PRINCIPADO DE);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);463;417;-9,9
ASTURIAS (PRINCIPADO DE);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);669;794;18,7
ASTURIAS (PRINCIPADO DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);321;279;-13,1
ASTURIAS (PRINCIPADO DE);6.-TRÁFICO DE DROGAS (EU);125;78;-37,6
ASTURIAS (PRINCIPADO DE);7.-DAÑOS;2352;2241;-4,7
ASTURIAS (PRINCIPADO DE);8.-HURTOS;6162;5768;-6,4
Municipio de Avilés;1.-DELITOS Y FALTAS (EU);1496;1537;2,7
Municipio de Avilés;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Avilés;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);33;44;33,3
Municipio de Avilés;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);41;73;78,0
Municipio de Avilés;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);66;45;-31,8
Municipio de Avilés;6.-TRÁFICO DE DROGAS (EU);19;3;-84,2
Municipio de Avilés;7.-DAÑOS;189;186;-1,6
Municipio de Avilés;8.-HURTOS;431;470;9,0
Municipio de Gijón;1.-DELITOS Y FALTAS (EU);5164;5408;4,7
Municipio de Gijón;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Gijón;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);138;107;-22,5
Municipio de Gijón;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);144;149;3,5
Municipio de Gijón;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);71;51;-28,2
Municipio de Gijón;6.-TRÁFICO DE DROGAS (EU);28;23;-17,9
Municipio de Gijón;7.-DAÑOS;532;571;7,3
Municipio de Gijón;8.-HURTOS;1528;1709;11,8
Municipio de Oviedo;1.-DELITOS Y FALTAS (EU);5050;4573;-9,4
Municipio de Oviedo;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Oviedo;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);192;199;3,6
Municipio de Oviedo;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);118;149;26,3
Municipio de Oviedo;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);77;68;-11,7
Municipio de Oviedo;6.-TRÁFICO DE DROGAS (EU);28;8;-71,4
Municipio de Oviedo;7.-DAÑOS;436;421;-3,4
Municipio de Oviedo;8.-HURTOS;2118;1703;-19,6
Municipio de Siero;1.-DELITOS Y FALTAS (EU);1320;1176;-10,9
Municipio de Siero;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Siero;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);29;13;-55,2
Municipio de Siero;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);47;57;21,3
Municipio de Siero;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);15;20;33,3
Municipio de Siero;6.-TRÁFICO DE DROGAS (EU);3;2;-33,3
Municipio de Siero;7.-DAÑOS;149;114;-23,5
Municipio de Siero;8.-HURTOS;471;416;-11,7
BALEARS (ILLES);1.-DELITOS Y FALTAS (EU);53208;53775;1,1
BALEARS (ILLES);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;8;60,0
BALEARS (ILLES);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);879;918;4,4
BALEARS (ILLES);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);2604;2456;-5,7
BALEARS (ILLES);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1292;1442;11,6
BALEARS (ILLES);6.-TRÁFICO DE DROGAS (EU);366;416;13,7
BALEARS (ILLES);7.-DAÑOS;3790;3873;2,2
BALEARS (ILLES);8.-HURTOS;22906;22920;0,1
Isla de Eivissa;1.-DELITOS Y FALTAS (EU);12727;12105;-4,9
Isla de Eivissa;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Isla de Eivissa;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);243;233;-4,1
Isla de Eivissa;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);563;568;0,9
Isla de Eivissa;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);523;509;-2,7
Isla de Eivissa;6.-TRÁFICO DE DROGAS (EU);155;183;18,1
Isla de Eivissa;7.-DAÑOS;659;685;3,9
Isla de Eivissa;8.-HURTOS;6606;5752;-12,9
Municipio de Eivissa;1.-DELITOS Y FALTAS (EU);3249;3058;-5,9
Municipio de Eivissa;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Eivissa;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);51;48;-5,9
Municipio de Eivissa;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);53;50;-5,7
Municipio de Eivissa;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);209;168;-19,6
Municipio de Eivissa;6.-TRÁFICO DE DROGAS (EU);65;53;-18,5
Municipio de Eivissa;7.-DAÑOS;146;142;-2,7
Municipio de Eivissa;8.-HURTOS;1544;1414;-8,4
Isla de Formentera;1.-DELITOS Y FALTAS (EU);651;667;2,5
Isla de Formentera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Isla de Formentera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);3;3;0,0
Isla de Formentera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);130;115;-11,5
Isla de Formentera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);73;80;9,6
Isla de Formentera;6.-TRÁFICO DE DROGAS (EU);6;4;-33,3
Isla de Formentera;7.-DAÑOS;67;68;1,5
Isla de Formentera;8.-HURTOS;171;158;-7,6
Isla de Mallorca;1.-DELITOS Y FALTAS (EU);37643;38672;2,7
Isla de Mallorca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;6;50,0
Isla de Mallorca;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);616;653;6,0
Isla de Mallorca;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1822;1660;-8,9
Isla de Mallorca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);671;829;23,5
Isla de Mallorca;6.-TRÁFICO DE DROGAS (EU);192;216;12,5
Isla de Mallorca;7.-DAÑOS;2837;2877;1,4
Isla de Mallorca;8.-HURTOS;15454;16213;4,9
Municipio de Calvià;1.-DELITOS Y FALTAS (EU);4453;4829;8,4
Municipio de Calvià;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100,0
Municipio de Calvià;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);150;154;2,7
Municipio de Calvià;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);221;241;9,0
Municipio de Calvià;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);37;42;13,5
Municipio de Calvià;6.-TRÁFICO DE DROGAS (EU);40;55;37,5
Municipio de Calvià;7.-DAÑOS;274;318;16,1
Municipio de Calvià;8.-HURTOS;2122;2291;8,0
Municipio de Palma;1.-DELITOS Y FALTAS (EU);20292;20065;-1,1
Municipio de Palma;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;1;-75,0
Municipio de Palma;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);365;376;3,0
Municipio de Palma;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);464;393;-15,3
Municipio de Palma;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);459;524;14,2
Municipio de Palma;6.-TRÁFICO DE DROGAS (EU);75;98;30,7
Municipio de Palma;7.-DAÑOS;1444;1367;-5,3
Municipio de Palma;8.-HURTOS;8607;8896;3,4
Isla de Menorca;1.-DELITOS Y FALTAS (EU);2187;2331;6,6
Isla de Menorca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Isla de Menorca;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);17;29;70,6
Isla de Menorca;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);89;113;27,0
Isla de Menorca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);25;24;-4,0
Isla de Menorca;6.-TRÁFICO DE DROGAS (EU);13;13;0,0
Isla de Menorca;7.-DAÑOS;227;243;7,0
Isla de Menorca;8.-HURTOS;675;797;18,1
CANARIAS;1.-DELITOS Y FALTAS (EU);67416;66330;-1,6
CANARIAS;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);12;14;16,7
CANARIAS;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1123;1182;5,3
CANARIAS;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);2497;2576;3,2
CANARIAS;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1268;1209;-4,7
CANARIAS;6.-TRÁFICO DE DROGAS (EU);464;469;1,1
CANARIAS;7.-DAÑOS;5367;5399;0,6
CANARIAS;8.-HURTOS;22636;23286;2,9
Provincia de Palmas (Las);1.-DELITOS Y FALTAS (EU);35409;34876;-1,5
Provincia de Palmas (Las);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);10;8;-20,0
Provincia de Palmas (Las);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);551;594;7,8
Provincia de Palmas (Las);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1086;1164;7,2
Provincia de Palmas (Las);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);647;594;-8,2
Provincia de Palmas (Las);6.-TRÁFICO DE DROGAS (EU);269;308;14,5
Provincia de Palmas (Las);7.-DAÑOS;3049;3066;0,6
Provincia de Palmas (Las);8.-HURTOS;11197;11297;0,9
Isla de Fuerteventura;1.-DELITOS Y FALTAS (EU);3733;3861;3,4
Isla de Fuerteventura;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Isla de Fuerteventura;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);54;61;13,0
Isla de Fuerteventura;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);168;202;20,2
Isla de Fuerteventura;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);62;36;-41,9
Isla de Fuerteventura;6.-TRÁFICO DE DROGAS (EU);31;25;-19,4
Isla de Fuerteventura;7.-DAÑOS;327;337;3,1
Isla de Fuerteventura;8.-HURTOS;1144;1180;3,1
Isla de Gran Canaria;1.-DELITOS Y FALTAS (EU);26579;25812;-2,9
Isla de Gran Canaria;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;7;0,0
Isla de Gran Canaria;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);427;419;-1,9
Isla de Gran Canaria;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);692;671;-3,0
Isla de Gran Canaria;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);483;476;-1,4
Isla de Gran Canaria;6.-TRÁFICO DE DROGAS (EU);211;248;17,5
Isla de Gran Canaria;7.-DAÑOS;2245;2250;0,2
Isla de Gran Canaria;8.-HURTOS;8531;8534;0,0
Municipio de Palmas de Gran Canaria (Las);1.-DELITOS Y FALTAS (EU);12125;11782;-2,8
Municipio de Palmas de Gran Canaria (Las);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50,0
Municipio de Palmas de Gran Canaria (Las);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);248;248;0,0
Municipio de Palmas de Gran Canaria (Las);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);248;248;0,0
Municipio de Palmas de Gran Canaria (Las);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);270;228;-15,6
Municipio de Palmas de Gran Canaria (Las);6.-TRÁFICO DE DROGAS (EU);149;160;7,4
Municipio de Palmas de Gran Canaria (Las);7.-DAÑOS;1008;1015;0,7
Municipio de Palmas de Gran Canaria (Las);8.-HURTOS;4243;4151;-2,2
Municipio de San Bartolomé de Tirajana;1.-DELITOS Y FALTAS (EU);3755;3733;-0,6
Municipio de San Bartolomé de Tirajana;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100,0
Municipio de San Bartolomé de Tirajana;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);73;70;-4,1
Municipio de San Bartolomé de Tirajana;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);70;81;15,7
Municipio de San Bartolomé de Tirajana;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);48;47;-2,1
Municipio de San Bartolomé de Tirajana;6.-TRÁFICO DE DROGAS (EU);25;28;12,0
Municipio de San Bartolomé de Tirajana;7.-DAÑOS;239;259;8,4
Municipio de San Bartolomé de Tirajana;8.-HURTOS;1672;1735;3,8
Municipio de Santa Lucía de Tirajana;1.-DELITOS Y FALTAS (EU);2065;1903;-7,8
Municipio de Santa Lucía de Tirajana;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Santa Lucía de Tirajana;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);27;29;7,4
Municipio de Santa Lucía de Tirajana;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);78;73;-6,4
Municipio de Santa Lucía de Tirajana;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);36;37;2,8
Municipio de Santa Lucía de Tirajana;6.-TRÁFICO DE DROGAS (EU);5;7;40,0
Municipio de Santa Lucía de Tirajana;7.-DAÑOS;191;147;-23,0
Municipio de Santa Lucía de Tirajana;8.-HURTOS;525;497;-5,3
Municipio de Telde;1.-DELITOS Y FALTAS (EU);3374;3217;-4,7
Municipio de Telde;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;1;-66,7
Municipio de Telde;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);42;34;-19,0
Municipio de Telde;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);107;62;-42,1
Municipio de Telde;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);73;86;17,8
Municipio de Telde;6.-TRÁFICO DE DROGAS (EU);18;21;16,7
Municipio de Telde;7.-DAÑOS;280;318;13,6
Municipio de Telde;8.-HURTOS;761;700;-8,0
Isla de Lanzarote;1.-DELITOS Y FALTAS (EU);5097;5203;2,1
Isla de Lanzarote;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100,0
Isla de Lanzarote;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);70;114;62,9
Isla de Lanzarote;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);226;291;28,8
Isla de Lanzarote;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);102;82;-19,6
Isla de Lanzarote;6.-TRÁFICO DE DROGAS (EU);27;35;29,6
Isla de Lanzarote;7.-DAÑOS;477;479;0,4
Isla de Lanzarote;8.-HURTOS;1522;1583;4,0
Municipio de Arrecife;1.-DELITOS Y FALTAS (EU);1749;2025;15,8
Municipio de Arrecife;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100,0
Municipio de Arrecife;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);33;60;81,8
Municipio de Arrecife;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);51;98;92,2
Municipio de Arrecife;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);68;47;-30,9
Municipio de Arrecife;6.-TRÁFICO DE DROGAS (EU);11;20;81,8
Municipio de Arrecife;7.-DAÑOS;216;231;6,9
Municipio de Arrecife;8.-HURTOS;385;534;38,7
Provincia de Santa Cruz de Tenerife;1.-DELITOS Y FALTAS (EU);32007;31454;-1,7
Provincia de Santa Cruz de Tenerife;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;6;200,0
Provincia de Santa Cruz de Tenerife;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);572;588;2,8
Provincia de Santa Cruz de Tenerife;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1411;1412;0,1
Provincia de Santa Cruz de Tenerife;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);621;615;-1,0
Provincia de Santa Cruz de Tenerife;6.-TRÁFICO DE DROGAS (EU);195;161;-17,4
Provincia de Santa Cruz de Tenerife;7.-DAÑOS;2318;2333;0,6
Provincia de Santa Cruz de Tenerife;8.-HURTOS;11439;11989;4,8
Isla de Gomera (La);1.-DELITOS Y FALTAS (EU);233;230;-1,3
Isla de Gomera (La);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Isla de Gomera (La);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);0;2;100,0
Isla de Gomera (La);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);3;7;133,3
Isla de Gomera (La);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2;3;50,0
Isla de Gomera (La);6.-TRÁFICO DE DROGAS (EU);2;7;250,0
Isla de Gomera (La);7.-DAÑOS;39;34;-12,8
Isla de Gomera (La);8.-HURTOS;33;46;39,4
Isla de Hierro (El);1.-DELITOS Y FALTAS (EU);102;104;2,0
Isla de Hierro (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Isla de Hierro (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1;1;0,0
Isla de Hierro (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);3;3;0,0
Isla de Hierro (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1;1;0,0
Isla de Hierro (El);6.-TRÁFICO DE DROGAS (EU);0;0;0,0
Isla de Hierro (El);7.-DAÑOS;11;11;0,0
Isla de Hierro (El);8.-HURTOS;23;18;-21,7
Isla de Palma (La);1.-DELITOS Y FALTAS (EU);1481;1431;-3,4
Isla de Palma (La);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Isla de Palma (La);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);9;8;-11,1
Isla de Palma (La);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);80;103;28,8
Isla de Palma (La);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);12;16;33,3
Isla de Palma (La);6.-TRÁFICO DE DROGAS (EU);10;11;10,0
Isla de Palma (La);7.-DAÑOS;177;140;-20,9
Isla de Palma (La);8.-HURTOS;374;394;5,3
Isla de Tenerife;1.-DELITOS Y FALTAS (EU);30191;29689;-1,7
Isla de Tenerife;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;6;500,0
Isla de Tenerife;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);562;577;2,7
Isla de Tenerife;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1325;1299;-2,0
Isla de Tenerife;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);606;595;-1,8
Isla de Tenerife;6.-TRÁFICO DE DROGAS (EU);183;143;-21,9
Isla de Tenerife;7.-DAÑOS;2091;2148;2,7
Isla de Tenerife;8.-HURTOS;11009;11531;4,7
Municipio de Arona;1.-DELITOS Y FALTAS (EU);4215;4022;-4,6
Municipio de Arona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Arona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);108;89;-17,6
Municipio de Arona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);198;245;23,7
Municipio de Arona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);94;75;-20,2
Municipio de Arona;6.-TRÁFICO DE DROGAS (EU);29;22;-24,1
Municipio de Arona;7.-DAÑOS;212;231;9,0
Municipio de Arona;8.-HURTOS;1805;1800;-0,3
Municipio de San Cristóbal de la Laguna;1.-DELITOS Y FALTAS (EU);4434;4169;-6,0
Municipio de San Cristóbal de la Laguna;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de San Cristóbal de la Laguna;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);113;101;-10,6
Municipio de San Cristóbal de la Laguna;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);203;164;-19,2
Municipio de San Cristóbal de la Laguna;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);122;96;-21,3
Municipio de San Cristóbal de la Laguna;6.-TRÁFICO DE DROGAS (EU);39;24;-38,5
Municipio de San Cristóbal de la Laguna;7.-DAÑOS;379;349;-7,9
Municipio de San Cristóbal de la Laguna;8.-HURTOS;1293;1299;0,5
Municipio de Santa Cruz de Tenerife;1.-DELITOS Y FALTAS (EU);7901;6901;-12,7
Municipio de Santa Cruz de Tenerife;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;3;100,0
Municipio de Santa Cruz de Tenerife;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);192;187;-2,6
Municipio de Santa Cruz de Tenerife;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);236;230;-2,5
Municipio de Santa Cruz de Tenerife;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);151;184;21,9
Municipio de Santa Cruz de Tenerife;6.-TRÁFICO DE DROGAS (EU);43;28;-34,9
Municipio de Santa Cruz de Tenerife;7.-DAÑOS;587;609;3,7
